,,data-flow,control-flow,dynamic-analysis,semantic-analysis,problem-frames,model,static-analysis,dependencies,mult-objective,dependency,feature,data,rest,graph,domain,cohesion,coupling,unknown,multiple,neural,layer,business,neural-network,strangler,change-history,contributor-based,logs,transactional-contexts,logsteam,execution-flow
https://doi.org/10.1109/ACCESS.2021.3106342,"Microservices Backlog–A Genetic Programming Technique for Identification and Evaluation of Microservices From User Stories",,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,
https://doi.org/10.1109/ICWS53863.2021.00104,"Monolith to Microservice Candidates using Business Functionality Inference",,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/SOSE49046.2020.00015,"System Decomposition to Optimize Functionality Distribution in Microservices with Rule Based Approach",,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/ICS51289.2020.00107,"Microservice Migration Using Strangler Fig Pattern: A Case Study on the Green Button System",,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
https://doi.org/10.1109/ICSA-C50368.2020.00011,"Microservice Decomposition via Static and Dynamic Analysis of the Monolith",,x,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/ICWS.2017.61,"Extraction of Microservices from Monolithic Software Architectures",,,,,,,,,,,,,,,x,,,,,,,,,,x,x,,,,
https://doi.org/10.1145/3468264.3473915,"Mono2Micro: a practical and effective tool for decomposing monolithic Java applications to microservices",,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
http://sattose.wdfiles.com/local--files/2020/sattose2020_paper_12.pdf,"Steinmetz: Toward automatic decomposition of monolithic software into microservices",,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1145/3461011,"Software Architectural Migration: An Automated Planning Approach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.13052/jwe1540-9589.20312,"A Prescriptive Model for Migration to Microservices Based on SDLC Artifacts",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/20.500.12932/148,"From a Monolith to Microservices: the Effect of Multi-view Clustering",,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.jss.2019.02.031,"Unsupervised learning approach for web application auto-decomposition into microservices",,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,
https://doi.org/10.1109/ICSA47634.2020.00023,"From Monolithic Architecture Style to Microservice one Based on a Semi-Automatic Approach",,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/ICSA-C54293.2022.00010,"Towards Migrating Legacy Software Systems to Microservice-based Architectures: a Data-Centric Process for Microservice Identification",,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/ICSME46990.2020.00060,"On the Performance and Adoption of Search-Based Microservice Identification with toMicroservices",,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
https://doi.org/10.1109/ICWS55610.2022.00065,"Log2MS: a framework for automated refactoring monolith into microservices using execution logs",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-030-29983-5_3,"From a Monolith to a Microservices Architecture: An Approach Based on Transactional Contexts",,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
https://doi.org/10.1007/978-3-030-96305-7_36,"Automatic Microservices Identification Across Structural Dependenc",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/ICSA47634.2020.00021,"Automated Microservice Identification in Legacy Systems with Functional and Non-Functional Metrics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
https://doi.org/10.1016/j.infsof.2021.106600,"From monolithic systems to Microservices: An assessment framework",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-319-92901-9_8,"Evaluation of Microservice Architectures: A Metric and Tool-Based Approach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1080/1206212X.2021.1915444,"Dependencies-based microservices decomposition method",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-030-39306-9_2,"A Model-Driven Approach Towards Automatic Migration to Microservices",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-319-44482-6_12,"Service Cutter: A Systematic Approach to Service Decomposition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1145/3368089.3417933,"Mono2Micro: an AI-based toolchain for evolving monolithic enterprise applications to a microservice architecture",,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-030-58923-3_21,"Determining Microservice Boundaries: A Case Study Using Static and Dynamic Software Analysis",,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,x
https://doi.org/10.48550/arXiv.2207.11784,"CARGO: AI-Guided Dependency Analysis for Migrating Monolithic Applications to Microservices Architecture",x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/ASE51524.2021.9678851,"Transforming monolithic applications to microservices with Mono2Micro",,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-030-31646-4_3,"Migrating to Microservices",,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,
https://doi.org/10.1145/3466933.3466949,"Mon4Aware: A multi-objective and context-aware approach to decompose monolithic applications",,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
https://doi.org/10.1109/CloudCom.2019.00023,"MicroValid: a validation framework for automatically decomposed microservices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1145/3377929.3390030,"Search-based many-criteria identification of microservices from legacy systems",,,,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,
https://doi.org/10.1109/ISSREW.2019.00050,"From Monolithic Architecture to Microservices Architecture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1145/3241403.3241440,"Cracking the monolith: challenges in data transitioning to cloud native architectures",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.7763/IJCTE.2018.V10.1219,"An Approach to Evolving Legacy Enterprise System to Microservice-Based Architecture through Feature-Driven Evolution Rules",,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/APSEC.2018.00072,"Extracting Candidates of Microservices from Monolithic Application Code",x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1609/aaai.v35i1.16079,"Graph Neural Network to Dilute Outliers for Refactoring Monolith Application",,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-031-11513-4_7,"Materializing Microservice-oriented Architecture from Monolithic Object-oriented Source Code",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
https://doi.org/10.1007/978-3-030-03596-9_3,"Function-Splitting Heuristics for Discovery of Microservices in Enterprise Systems",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/SCC.2018.00042,"Object-Aware Identification of Microservices",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/SOSE55356.2022.00007,"Monolith to Microservices: VAE-Based GNN Approach with Duplication Consideration",,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/ICSME.2019.00081,"Microservices Migration in Industry: Intentions, Strategies, and Challenges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/AIMS.2017.23,"Migrating Monolithic Mobile Application to Microservice Architecture: An Experiment Report",,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.jss.2019.01.001,"Architecting with microservices: A systematic mapping study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
